Index,product,category,sale_price,market_price,type,rating
220,Ultimate Brioche Edition,"Bakery, Cakes & Dairy", 155.00, 155.00,Gourmet Bread,4.4
221,New Generation Onion - Rings Line,Gourmet & World Food, 75.00, 75.00,"Healthy, Baked Snacks",3.919943820224719
222,Artisan Cotton Mop With Telescopic Handle 150 Cm Premium Pack,Cleaning & Household, 558.00, 620.00,"Mops, Wipers",3.919943820224719
223,Max Kale Selection,Fruits & Vegetables, 10.00, 12.50,Organic Vegetables,3.919943820224719
224,"Artisan Notebook - Unruled, Long Model",Cleaning & Household, 33.00, 33.00,"Notebooks, Files, Folders",4.3
225,Pro Instant Noodles - Soy & Vinegar Range,Gourmet & World Food, 67.50, 75.00,Imported Noodles,3.6
226,Expert Gluten-Free Quinoa Flour Style,Gourmet & World Food, 378.00, 378.00,Flours & Pre-Mixes,3.7
227,"Essential Chikki, Peanut Bar Bundle",Snacks & Branded Foods, 40.00, 40.00,Chikki & Gajjak,4.1
228,Max 1001 Nights Concentrated Oriental Perfume Free From Alcohol For Unisex Set,Beauty & Hygiene," 4,900.00"," 5,000.00",Attar,3.919943820224719
229,Fusion Man - Indigo Body Mist Bundle,Beauty & Hygiene, 278.40, 348.00,Body Sprays & Mists,3.919943820224719
230,Ultimate Fields Of Gold Organic Cumin - Whole Style,"Foodgrains, Oil & Masala", 52.00, 52.00,Organic Masalas & Spices,4.4
231,Advanced Body Massage Oil - Energising Premium Pack,Beauty & Hygiene, 697.50, 775.00,Aromatherapy,3.919943820224719
232,Advanced Synthetic Food Colour Preparation Lemon Yellow Edition,Snacks & Branded Foods, 20.00, 20.00,Home Baking,4.0
233,"Elite Toothpaste - Gum Care, Expert Protection Selection",Beauty & Hygiene, 78.40, 98.00,Toothpaste,4.3
234,New Generation Bio Myristica Spot Correcting Anti Acne Face Pack Style,Beauty & Hygiene, 149.25, 199.00,Face Care,3.9
235,"Expert Stainless Steel Frying Ladle - No. 9, Silvera Collection","Kitchen, Garden & Pets", 65.00, 82.00,"Strainer, Ladle, Spatula",3.7
236,Artisan OvenOrg Multi Millet Rusk Set,"Bakery, Cakes & Dairy", 35.00, 35.00,Rusks,1.8
237,Pro Mahabhringraj Tel - Hairfall Reduction & Dandruff Control Premium Pack,Beauty & Hygiene, 295.00, 295.00,Ayurveda,3.919943820224719
238,Signature Masterchefs Germ Protection Liquid Handwash Refill Collection,Beauty & Hygiene, 147.00, 147.00,Hand Wash & Sanitizers,4.2
239,Fusion Black Naturals Hair Colour Shade 1-Deep Black 20 ml + 20 gm Set,Beauty & Hygiene, 108.78, 117.00,Hair Color,4.2
240,Advanced Apple Cider Vinegar - Raw Unfiltered Unpasteurized with Cinamon & Honey Line,Gourmet & World Food, 449.10, 499.00,Balsamic & Cider Vinegar,5.0
241,"Pro Brinjal - Varikatri, Organically Grown Range",Fruits & Vegetables, 10.00, 12.50,Organic Vegetables,3.919943820224719
242,Pro Wonderz Milk Shakes - Classic Vanilla Style,"Bakery, Cakes & Dairy", 29.75, 35.00,"Flavoured, Soya Milk",4.5
243,Max Marie Light Biscuits - Oats Fibre Line,Snacks & Branded Foods, 25.00, 25.00,"Marie, Health, Digestive",4.3
244,Pro Masala - Chicken Range,"Foodgrains, Oil & Masala", 28.00, 28.00,Blended Masalas,4.8
245,Ultimate Dark Chocolate- 55% Rich In Cocoa Line,Snacks & Branded Foods, 87.12, 100.00,Chocolates,4.3
246,Fusion Gentle Baby Wipes Range,Baby Care, 699.00, 699.00,Baby Wipes,4.1
247,Ultimate Avocado Style,Fruits & Vegetables, 105.00, 131.25,Exotic Fruits,3.919943820224719
248,New Generation Plastic Dustbin - Beige Series,Cleaning & Household, 249.00, 449.00,Dustbins,4.1
249,"New Generation Pineapple - Chunks, Single Serve Style",Fruits & Vegetables, 19.00, 23.75,"Cut Fruit, Tender Coconut",3.919943820224719
250,Max Jeera Powder Premium Pack,"Foodgrains, Oil & Masala", 44.20, 52.00,Powdered Spices,4.1
251,Expert Pure Neem Skin Purifying Face Wash Line,Beauty & Hygiene, 90.00, 120.00,Face Care,4.3
252,Signature Lemon - Organically Grown Selection,Fruits & Vegetables, 33.60, 42.00,Organic Vegetables,3.919943820224719
253,Signature Lavender & Vanilla Handmade Luxury Soap Collection,Beauty & Hygiene, 275.00, 275.00,Bathing Bars & Soaps,5.0
254,"Advanced Stainless Steel Pressure Cooker - Steeltuff, Induction Base, Silver Set","Kitchen, Garden & Pets"," 2,059.00"," 2,424.00",Pressure Cookers,3.0
255,"Pro Steel Deep Dabba/Storage Container - No. 12, Plain Range","Kitchen, Garden & Pets", 249.00, 339.00,Steel Storage Containers,3.919943820224719
256,Expert Chyawan Fit Sugarfree Chyawanprash - Natural Immunity Booster Series,Beauty & Hygiene, 225.00, 225.00,Supplements & Proteins,5.0
257,Artisan Morning Dew Perfumed Talc 250 g + English Lavender Perfumed Talc 250 g Range,Beauty & Hygiene, 329.80, 400.00,Talcum Powder,3.919943820224719
258,"Elite Energy Bars - Nutty, 4+ Years, 100% Natural & Healthy Line",Snacks & Branded Foods, 140.00, 140.00,Chocolates,3.6
259,Pro Banana Stem - Diced Line,Fruits & Vegetables, 32.00, 40.00,Cut & Peeled Veggies,3.919943820224719
260,Fusion Chilli Flakes Premium Pack,Gourmet & World Food, 99.00, 99.00,"Herbs, Seasonings & Rubs",4.3
261,Essential Bite & Sip Flask And Lunch Box/Tiffin Box - Green Colour Collection,"Kitchen, Garden & Pets", 319.00, 495.00,Lunch Boxes,3.5
262,Elite Namkeen - Khara Boondi Selection,Snacks & Branded Foods, 49.00, 85.00,Namkeen & Savoury Snacks,4.0
263,Fusion Raw Seeds - Sunflower Pumpkin Flax Seeds Selection,Gourmet & World Food, 166.00, 175.00,Roasted Seeds & Nuts,4.4
264,"Elite Garnet LED White Bulb - 14 Watt, Cool Day, B22 Style","Kitchen, Garden & Pets", 199.00, 320.00,CFL & Led Bulbs,3.5
265,Essential Tempeh Cubes - Simply Sriracha Soyabean Style,"Bakery, Cakes & Dairy", 135.00, 150.00,"Paneer, Tofu & Cream",5.0
266,Advanced Green Tea Gentle Detox Set Edition,Beauty & Hygiene, 972.00, 972.00,Body Care,3.919943820224719
267,Fusion Fresh Catch Fish Fingers Edition,"Eggs, Meat & Fish", 240.00, 240.00,Frozen Fish & Seafood,3.919943820224719
268,Elite Sour Cream & Onion Collection,Gourmet & World Food, 95.00, 95.00,Nachos & Chips,2.8
269,Fusion Xylitol Powder Bundle,Gourmet & World Food, 350.00, 350.00,Exotic Sugar & Salt,5.0
270,Expert Glass Amaze Air Tight Jar - Pink Premium Pack,"Kitchen, Garden & Pets", 289.00, 358.00,Glassware,3.919943820224719
271,Fusion Sixer Biscuits - Salted Premium Pack,Snacks & Branded Foods, 60.00, 60.00,Salted Biscuits,4.2
272,"Artisan Gokshuradi Guggulu - Urinary Disorders, 500mg Series",Beauty & Hygiene, 80.00, 80.00,Ayurveda,3.919943820224719
273,Fusion Peach Shine Lip Care Set,Beauty & Hygiene, 112.50, 150.00,Lip Care,4.0
274,Ultimate Skincare Hand Wash Refill Collection,Beauty & Hygiene, 218.00, 218.00,Hand Wash & Sanitizers,4.3
275,Advanced 4mm Aluminium Induction Base Chapati Roti Tawa - Silver Edition,"Kitchen, Garden & Pets", 649.00," 1,289.00",Tawa & Sauce Pan,3.919943820224719
276,Pro Mix - Rava Idli Model,Snacks & Branded Foods, 110.00, 110.00,Breakfast & Snack Mixes,4.1
277,Ultimate Impress Concentrated Perfume Free From Alcohol For Male Premium Pack,Beauty & Hygiene, 300.00, 500.00,Attar,3.919943820224719
278,Pro Skin Awakening Rinse Edition,Beauty & Hygiene, 432.00, 480.00,Face Care,5.0
279,Pro Pacific Steel Insulated Vacuum Flask Line,"Kitchen, Garden & Pets", 609.00, 999.00,Vacuum Flask,3.919943820224719
280,Elite Regenerist - Advanced Anti-Ageing Revitalising Hydration Skin Cream Moisturizer SPF 15 Selection,Beauty & Hygiene," 1,049.25"," 1,399.00",Face Care,4.1
281,Fusion Cotton Swabs Range,Beauty & Hygiene, 39.00, 69.00,Cotton & Ear Buds,3.919943820224719
282,"Advanced Tropical Fruit Pudding - Lychee, Mango, Strawberry Flavoured Bundle",Gourmet & World Food, 63.75, 75.00,"Marshmallow, Candy, Jelly",4.0
283,Ultimate Pippali Fruit Powder - Supports Healthy Digestive & Immune System Set,Beauty & Hygiene, 595.00, 595.00,Ayurveda,3.919943820224719
284,New Generation Salt & Peeper Shaker Masala Dabbi With Window Bundle,"Kitchen, Garden & Pets", 89.00, 125.00,Kitchen Tools & Other Accessories,3.2
285,Signature Organic - Triphala Powder Collection,"Foodgrains, Oil & Masala", 94.05, 99.00,Organic Masalas & Spices,4.2
286,Elite Aeda Glycerine Bathing Bar - Natural Green Set,Beauty & Hygiene, 35.00, 35.00,Bathing Bars & Soaps,4.7
287,Advanced Chicken Cocktail Sausage Set,"Eggs, Meat & Fish", 171.60, 220.00,Chicken Sausages,3.919943820224719
288,Artisan Sun Expert Fairnes Sunscren Lotion SPF 30 PA++ Bundle,Beauty & Hygiene, 385.00, 385.00,Body Care,4.5
289,Signature Cotton Pads Collection,Beauty & Hygiene, 80.00, 80.00,Cotton & Ear Buds,4.4
290,Artisan Ashwagandha Powder Series,Gourmet & World Food, 400.00, 400.00,Health Drinks,2.5
291,New Generation Frozen - Mixed Vegetables Model,Snacks & Branded Foods, 93.50, 110.00,Frozen Vegetables,4.1
292,Elite Masala - Kitchen Edition,"Foodgrains, Oil & Masala", 29.70, 33.00,Blended Masalas,5.0
293,Ultimate Mustard/Sasive/Rai - Big Series,"Foodgrains, Oil & Masala", 30.00, 50.00,Whole Spices,4.2
294,Artisan Ayurvedic Soap Edition,Beauty & Hygiene, 230.40, 288.00,Bathing Bars & Soaps,4.4
295,"Advanced Glass Matt Finish Bottle With Plastic Cap - Blue, BB1324 Model","Kitchen, Garden & Pets", 169.00, 309.00,Water & Fridge Bottles,3.919943820224719
296,Artisan Perfume - Youth Dew EDP Spray Set,Beauty & Hygiene," 3,500.00"," 3,500.00",Eau De Parfum,3.919943820224719
297,Elite Cotton Swabs Set,Beauty & Hygiene, 109.00, 109.00,Cotton & Ear Buds,4.0
298,Expert Organic Idly - Oats Line,Snacks & Branded Foods, 125.00, 125.00,Breakfast & Snack Mixes,3.919943820224719
299,Essential Red Curry Selection,Gourmet & World Food, 270.00, 270.00,"Curry Paste, Coconut Milk",4.4
300,Max Hareli Kitchen Jar Series,"Kitchen, Garden & Pets", 409.00, 502.00,Glassware,3.919943820224719
301,Fusion Heavy Starch - Lemon Fresh Scent Edition,Cleaning & Household, 285.00, 285.00,Imported Cleaners,4.5
302,New Generation United Dreams Go Far Eau De Toilette Range,Beauty & Hygiene," 1,330.00"," 1,900.00",Eau De Toilette,5.0
303,Advanced Ayurvedic Jamun Powder Collection,Beauty & Hygiene, 60.00, 60.00,Ayurveda,3.919943820224719
304,Max So Soft 2 Ply Face Tissue Box Series,Cleaning & Household, 140.00, 140.00,"Paper Napkin, Tissue Box",4.1
305,"Ultimate Pomegranate - Single Serve, Peeled Series",Fruits & Vegetables, 34.00, 42.50,"Cut Fruit, Tender Coconut",3.919943820224719
306,Max Stevia Spoonable - Powder Line,Gourmet & World Food, 320.00, 320.00,Exotic Sugar & Salt,3.9
307,Essential Ylang Ylang Essential Oil Selection,Beauty & Hygiene, 351.00, 390.00,Aromatherapy,3.0
308,Fusion Toor/Arhar Dal Line,"Foodgrains, Oil & Masala", 128.00, 160.00,"Toor, Channa & Moong Dal",3.919943820224719
309,Fusion Peristaltic Nipple - 'S' Hole Model,Baby Care, 99.00, 99.00,Sippers & Bottles,3.919943820224719
310,Artisan Fragrance Body Spray - Cool Blue Bundle,Beauty & Hygiene, 159.50, 290.00,Men's Deodorants,3.5
311,New Generation Vitamin C Brightening Peel Off Mask Collection,Beauty & Hygiene, 499.00, 499.00,Face Care,3.919943820224719
312,Pro Almond & Rose Soap Value Pack Style,Beauty & Hygiene, 131.20, 160.00,Bathing Bars & Soaps,4.3
313,Signature Yippee Noodles - Magic Masala Range,Snacks & Branded Foods, 61.20, 68.00,Instant Noodles,4.3
314,Pro Fields Of Gold Organic Foxtail Millet Edition,"Foodgrains, Oil & Masala", 90.00, 90.00,Cereals & Millets,4.5
315,Artisan Arrabbiata Tomato Pasta Sauce With Chilli Collection,Gourmet & World Food, 325.00, 325.00,Mustard & Cheese Sauces,5.0
316,"Pro Wood - Centre Filled Bar Infused With Dark Mousse, Cinnamon & Coffee Edition",Snacks & Branded Foods, 350.00, 350.00,Chocolates,4.5
317,Pro Basil Seed Drink - Orange Edition,Gourmet & World Food, 84.15, 99.00,Gourmet Juices & Drinks,3.919943820224719
318,Essential Solution Anti Blackhead/Whitehead Masksheet (Pack of 10) Model,Beauty & Hygiene, 900.00," 1,500.00",Face Care,3.919943820224719
319,Ultimate Acno Fight Pimple Clearing Gel Edition,Beauty & Hygiene, 104.30, 149.00,Face & Body,3.3
320,Essential Pork Classic Salami Bundle,"Eggs, Meat & Fish", 191.25, 225.00,Pork & Ham,3.919943820224719
321,Elite Gold Flash - Mosquito Repellent Combo Machine & Refill Series,Cleaning & Household, 226.16, 257.00,Mosquito Repellent,4.3
322,Advanced Stainless Steel Airtight Storage Container - SL-1401 Premium Pack,"Kitchen, Garden & Pets", 209.00, 269.00,Steel Storage Containers,3.7
323,Elite Organic Idly Podi - Ginger Selection,Snacks & Branded Foods, 75.00, 75.00,Breakfast & Snack Mixes,3.9
324,Elite Whisky Cocktail Mixers - 100% Natural Set,Gourmet & World Food," 1,200.00"," 1,200.00",Gourmet Juices & Drinks,3.919943820224719
325,Expert Family Sunscreen Lotion SPF 25 Collection,Beauty & Hygiene, 273.00, 420.00,Face Care,1.0
326,Fusion Japanese Cooking Rice-Wine Series,Gourmet & World Food, 475.00, 500.00,Flavoured & Other Oils,1.0
327,Ultimate Coated Green Peas - Wasabi Range,Gourmet & World Food, 93.50, 110.00,Roasted Seeds & Nuts,4.1
328,Fusion Charminar Basmati Rice/Basmati Akki - Select Range,"Foodgrains, Oil & Masala", 399.00, 569.00,Basmati Rice,3.9
329,Max Hide & Seek Choco Rolls Line,Snacks & Branded Foods, 37.50, 50.00,Cream Biscuits & Wafers,4.3
330,"New Generation Hair Fall Control Kit - Oil, Shampoo & Serum Edition",Beauty & Hygiene, 630.00," 1,050.00",Shampoo & Conditioner,5.0
331,"Artisan Anti-Acne Face Cleanser - With Salyclic Acid, For Oily Skin Premium Pack",Beauty & Hygiene, 236.00, 295.00,Face & Body,3.0
332,Artisan Gluten-Free Moong Dal Cheela/Dosa Mix Bundle,Gourmet & World Food, 259.00, 259.00,Flours & Pre-Mixes,4.2
333,Ultimate Milk Boiler - Aluminium Bundle,"Kitchen, Garden & Pets", 549.00, 732.00,Cook And Serve,2.5
334,"Signature Green Tea - Pure, Bio-Degradable Selection",Gourmet & World Food, 297.00, 297.00,Gourmet Tea & Tea Bags,3.919943820224719
335,Advanced Cube Storage Glass Jar Premium Pack,"Kitchen, Garden & Pets", 249.00, 370.00,Containers Sets,4.4
336,Ultimate M1 Perfume Spray - For Men Premium Pack,Beauty & Hygiene, 231.00, 420.00,Men's Deodorants,4.3
337,Fusion Tulsi Mulethi Green Tea Style,Gourmet & World Food, 300.00, 300.00,Gourmet Tea & Tea Bags,3.919943820224719
338,Expert Nicer Dicer Style,"Kitchen, Garden & Pets", 475.00," 1,195.00",Choppers & Graters,2.6
339,Max Masala - Punjabi Chhole Range,"Foodgrains, Oil & Masala", 28.05, 33.00,Blended Masalas,4.3
340,"Advanced Pork - Fresh Bacon, Sliced Premium Pack","Eggs, Meat & Fish", 360.00, 400.00,Pork & Ham,3.919943820224719
341,New Generation Active Salt Toothpaste Saver Pack 300g + Sensitive Soft Bristles Toothbrush 4pcs Model,Beauty & Hygiene, 149.72, 258.00,Toothpaste,3.919943820224719
342,Pro Silicone Feeding Nipple/Teat Regular Neck - Size XL Collection,Baby Care, 150.00, 150.00,Nursing Tools,3.919943820224719
343,"Elite Microwaveable Plastic Multiutility Bowl - Yellow, New Coral, L2272 YL Line","Kitchen, Garden & Pets", 29.00, 38.00,Containers Sets,3.6
344,Pro Chicken Jalapeno Cheese Nuggets Model,"Eggs, Meat & Fish", 285.00, 300.00,Chicken Sausages,3.919943820224719
345,Essential Milk Delights Face Wash With Honey For Dry Skin Style,Beauty & Hygiene, 86.40, 90.00,Face Care,4.2
346,Advanced Instaglow Oxygen Bleach Series,Beauty & Hygiene, 63.00, 70.00,Face Care,4.1
347,Ultimate Soft Drink - Lime Flavoured Collection,Beverages, 38.00, 40.00,Cold Drinks,4.3
348,Pro Coffee Creamer - Coffee-Mate Premium Pack,Gourmet & World Food, 425.00, 425.00,Coffee & Pre-Mix,3.919943820224719
349,Essential Royce Premium High Quality Pedal Plastic Dustbin / Garbage Bin - Blue Series,Cleaning & Household, 219.00, 265.00,Dustbins,2.8
350,Advanced Khaas Shampoo Bar - Heena Amla Edition,Beauty & Hygiene, 295.00, 295.00,Shampoo & Conditioner,3.919943820224719
351,Artisan Bubble Glass Bundle,"Kitchen, Garden & Pets", 789.00," 1,041.00",Glassware,3.919943820224719
352,Expert Dazzle Livid Lilac Dinner Set - White Collection,"Kitchen, Garden & Pets"," 1,229.00"," 1,895.00",Dinner Sets,3.8
353,Signature Dhanwantharam Kwath Bundle,Beauty & Hygiene, 140.00, 140.00,Ayurveda,3.919943820224719
354,Fusion Suzzan Glass Bottle With Blue Cap Edition,"Kitchen, Garden & Pets", 290.00, 290.00,Water & Fridge Bottles,3.919943820224719
355,Expert Henko Detergent Bar - Stain Care 250 gm + Mr. White Detergent Powder 1 kg Pouch Model,Cleaning & Household, 87.00, 95.00,Detergent Bars,3.919943820224719
356,New Generation Tea - English Breakfast Bundle,Beverages, 166.00, 195.00,Tea Bags,4.5
357,Elite Rolled Oats - Gluten Free + Gluten Free - Steel Cut Oats (each 500 g) Range,Snacks & Branded Foods, 352.00, 400.00,Oats & Porridge,3.919943820224719
358,"Max Wafer Roll - Twister, Black With Vanilla Flavoured Cream Bundle",Gourmet & World Food, 275.00, 275.00,"Cookies, Biscotti, Wafer",3.919943820224719
359,Essential Steel Cut Oats Selection,Snacks & Branded Foods, 650.00, 650.00,Oats & Porridge,3.5
360,Max Zucchini - Green Range,Fruits & Vegetables, 50.00, 62.50,Exotic Vegetables,3.919943820224719
361,Essential Green Sliced Olives Style,Gourmet & World Food, 180.00, 200.00,"Olive, Jalapeno, Gherkin",4.0
362,Fusion Ready To Eat - Khatta Meetha Poha Style,Snacks & Branded Foods, 60.00, 60.00,Breakfast & Snack Mixes,4.1
363,Max Roasted Soyanuts - Wasabi Collection,Gourmet & World Food, 185.00, 185.00,Roasted Seeds & Nuts,3.919943820224719
364,Advanced Radiance Boost Orange Aroma Mask Selection,Beauty & Hygiene, 112.50, 125.00,Face Care,2.5
365,Artisan Muffin/Cup Cake Vanilla 200 g + Choco Chip 200 g (Pack of 4 each) Range,"Bakery, Cakes & Dairy", 318.00, 318.00,Muffins & Cup Cakes,3.919943820224719
366,Max Masala Oats - Veggie Twist Bundle,Snacks & Branded Foods, 180.00, 195.00,Oats & Porridge,4.2
367,Elite Sunscreen Cream - Sunblock Anti Aging SPF UV 60 Collection,Beauty & Hygiene, 475.00, 475.00,Face Care,4.5
368,Ultimate Sunblock Lotion Model,Beauty & Hygiene, 178.50, 210.00,Face Care,4.1
369,Fusion Copper Water Fliptop Bottle - Stripes Range,"Kitchen, Garden & Pets", 549.00," 1,299.00",Copper Utensils,2.4
370,Ultimate For Men Evolution Eau De Toilette Style,Beauty & Hygiene," 1,900.80"," 3,300.00",Eau De Toilette,3.919943820224719
371,"Ultimate Long & Black Shampoo - With Goodness Of Amla & Bhringraj, For Shiny, Black Hair Selection",Beauty & Hygiene, 171.00, 190.00,Shampoo & Conditioner,4.2
372,Signature Toothpaste - Complete Care Style,Beauty & Hygiene, 65.00, 80.00,Toothpaste,4.3
373,Elite Olive Oil - Pomace Series,Gourmet & World Food," 3,330.00"," 3,330.00","Pure, Pomace Olive Oil",3.5
374,Expert Glass Set - Solo Shot Bar Style,"Kitchen, Garden & Pets", 579.00, 888.00,Glassware,3.919943820224719
375,New Generation Bonacure Conditioner - Repair Rescue Set,Beauty & Hygiene, 900.00, 900.00,Shampoo & Conditioner,5.0
376,Max Vegan Chipotle Mayo - Dairy-Free Premium Pack,Gourmet & World Food, 332.50, 350.00,Salad Dressings,3.4
377,Ultimate Blueberry Selection,Fruits & Vegetables, 330.00, 418.75,Exotic Fruits,3.919943820224719
378,"Pro Oregano - Organic, USDA Certified Premium Pack",Gourmet & World Food, 99.00, 99.00,"Herbs, Seasonings & Rubs",4.2
379,Expert Chunky Salsa - Mild Set,Gourmet & World Food, 140.25, 165.00,"Hummus, Cheese, Salsa Dip",3.919943820224719
380,Essential Multigrain Energy Bar - Nuts n Seed Series,Gourmet & World Food, 40.00, 40.00,Cereal & Granola Bars,4.0
381,Elite Active Fresh Gel Toothpaste Collection,Beauty & Hygiene, 45.00, 50.00,Toothpaste,4.3
382,Ultimate Hydro Replenish Radiance Day Crème with SPF 15 Bundle,Beauty & Hygiene, 104.30, 149.00,Face Care,4.3
383,Signature Anti-Hair Fall Shampoo Bundle,Beauty & Hygiene, 123.50, 130.00,Shampoo & Conditioner,4.2
384,"Fusion Cereal - Ragi, Rice & Mango With Milk Collection",Baby Care, 300.00, 300.00,Organic Baby Food,4.0
385,Fusion Fenugreek/Methi/Menthya Edition,"Foodgrains, Oil & Masala", 18.40, 30.00,Whole Spices,4.1
386,Max Hair Spa Oil Therapy Edition,Beauty & Hygiene, 370.50, 390.00,Hair Oil & Serum,5.0
387,"New Generation Sauce - Bhut Jolokia, Sweet Chilli Bundle",Snacks & Branded Foods, 168.75, 225.00,Chilli & Soya Sauce,5.0
388,Expert Dry Fruit Mixed Chatpata Range,Gourmet & World Food, 149.00, 215.00,Dry Fruits & Berries,3.919943820224719
389,Artisan Organic Coriander Powder Edition,"Foodgrains, Oil & Masala", 48.00, 48.00,Organic Masalas & Spices,4.1
390,Pro Stainless Steel Induction Base Tope Collection,"Kitchen, Garden & Pets", 399.00, 435.00,Bowls & Vessels,4.1
391,"New Generation Adult Cat Food Pocket Tuna 7 kg + Wet Meal Tuna In Jelly, for Adult Cat 1.02 kg Edition","Kitchen, Garden & Pets"," 1,986.60"," 2,220.00",Pet Meals & Treats,3.919943820224719
392,"Fusion Pork - Mortadella with Olives, Sliced Edition","Eggs, Meat & Fish", 410.40, 456.00,Pork & Ham,3.919943820224719
393,New Generation Andhra Special Allam/Ginger Pickle Selection,Snacks & Branded Foods, 210.00, 210.00,Other Veg Pickle,2.0
394,Ultimate New Dry Diapers - Medium Selection,Baby Care, 388.88, 425.00,Diapers,3.8
395,Expert Fruit N Fibre Muesli - Mixed Fruit Premium Pack,Snacks & Branded Foods, 320.00, 320.00,Muesli,4.3
396,Fusion Basa Fish - Fillet Family Pack Edition,"Eggs, Meat & Fish", 499.00, 499.00,Frozen Fish & Seafood,3.919943820224719
397,Pro Baby Corn - Sweet & Sour Series,Gourmet & World Food, 607.75, 715.00,Tomatoes & Vegetables,5.0
398,Advanced Kool - Badam Collection,"Bakery, Cakes & Dairy", 20.00, 20.00,"Flavoured, Soya Milk",4.2
399,Max Creamy Crackers - Original Line,Gourmet & World Food, 180.00, 180.00,Crackers & Digestive,4.3
400,Expert Dried - Cranberries 200G + Prunes 200G + Apricots  200G + Blueberries 150G Edition,Gourmet & World Food," 1,280.00"," 1,280.00",Dry Fruits & Berries,3.919943820224719
401,New Generation Milly Magic Chocolate Balls - Gluten Free Line,Snacks & Branded Foods, 485.00, 485.00,Kids Cereal,4.0
402,Artisan Millet Based Nutrition Bar - Classic Bundle,Gourmet & World Food, 20.00, 20.00,Cereal & Granola Bars,4.0
403,"Ultimate Bathroom Cleaner - Liquid, Hand Made Collection",Cleaning & Household, 120.00, 120.00,Toilet Cleaners,3.5
404,Pro Kodo Millet Rice - Pesticide Free Model,"Foodgrains, Oil & Masala", 84.15, 85.00,Cereals & Millets,4.1
405,Artisan Amla Juice Series,Beverages, 220.00, 220.00,Juices,3.919943820224719
406,Signature Cheddar - English Edition,Gourmet & World Food, 530.00, 530.00,International Cheese,3.919943820224719
407,Essential Power - Fresh Breath Fluoride Toothpaste 100 g + Sensitive Toothpaste 80 g Model,Beauty & Hygiene, 203.99, 240.00,Toothpaste,3.919943820224719
408,"Ultimate Matcha Moringa Bar Bites - Mini, Gluten-free, Vegan Bundle",Gourmet & World Food, 112.56, 168.00,"Cookies, Biscotti, Wafer",3.919943820224719
409,Essential Sugar Free Juice - Lemon Ginger Squash Range,Beverages, 330.00, 330.00,Juices,3.919943820224719
410,Advanced Wipeout Germ Killing Soap Bundle,Beauty & Hygiene, 55.20, 69.00,Hand Wash & Sanitizers,4.0
411,Artisan Jelly Crystal - Raspberry Edition,Gourmet & World Food, 40.50, 45.00,"Baking, Cake Decorations",4.4
412,Fusion Black Tea Series,Beverages, 155.00, 155.00,Tea Bags,4.3
413,New Generation Grainy Delight Series,Gourmet & World Food, 150.00, 150.00,Roasted Seeds & Nuts,3.919943820224719
414,"Artisan Kitchen Cleaning/Dusting Microfibre Cloth - Grey, G130060GR Bundle",Cleaning & Household, 239.20, 299.00,Dust Cloth & Wipes,4.3
415,Pro Amla Churna Model,Beauty & Hygiene, 80.00, 80.00,Ayurveda,3.919943820224719
416,Essential Professional Herbal Orange Facial Massage Cream Bundle,Beauty & Hygiene, 191.25, 225.00,Body Care,3.919943820224719
417,Artisan Eggless Mayonnaise Dip Premium Pack,Gourmet & World Food, 119.00, 149.00,Salad Dressings,3.919943820224719
418,Ultimate Nilgiri Green Tea - Yakuso Tulsi Range,Gourmet & World Food, 525.00, 750.00,Gourmet Tea & Tea Bags,3.919943820224719
419,"Ultimate Peri Peri Sauce - Bird Eye Chili, Hot & Tangy Style",Gourmet & World Food, 161.10, 179.00,Thai & Asian Sauces,4.1
420,"Essential Menstrual Cup - Wings, Pratham Model",Beauty & Hygiene, 489.00, 489.00,Tampons & Menstrual Cups,3.919943820224719
421,New Generation Wonderz Milk Fruit N Milk - Mango Collection,"Bakery, Cakes & Dairy", 29.75, 35.00,"Flavoured, Soya Milk",4.1
422,Advanced Cow Ghee/Tuppa Range,"Foodgrains, Oil & Masala", 432.00, 540.00,Ghee & Vanaspati,3.4
423,"Ultimate Organic - Black Cardamom Ealachi, Whole Style","Foodgrains, Oil & Masala", 44.00, 47.00,Organic Masalas & Spices,4.0
424,Advanced Ultimate Choco Berry Set,Snacks & Branded Foods, 950.00, 950.00,Granola & Cereal Bars,4.9
425,Max Steel Belly Shape Storage Dabba/ Container Set With PP Lid - Silver & Blue Style,"Kitchen, Garden & Pets", 219.00, 995.00,Steel Storage Containers,3.8
426,Fusion Kool - Koko Premium Pack,"Bakery, Cakes & Dairy", 111.00, 120.00,"Flavoured, Soya Milk",4.3
427,"Ultimate Apple Cider Vinegar - With Mother, Unfiltered & Unpasteurized Line",Gourmet & World Food, 500.00, 500.00,Balsamic & Cider Vinegar,5.0
428,Advanced Dare Deodorant Spray - Men Line,Beauty & Hygiene, 210.00, 210.00,Men's Deodorants,3.9
429,Ultimate Svachh DLX Alpha Steel Outer Lid Pressure Cooker (20247) Model,"Kitchen, Garden & Pets"," 2,060.00"," 2,290.00",Pressure Cookers,3.3
430,Fusion Hydrating Body Lotion Line,Beauty & Hygiene, 349.00, 349.00,Body Care,4.0
431,Essential Nuts & Seeds Bar Range,Snacks & Branded Foods, 36.00, 40.00,Granola & Cereal Bars,3.8
432,"Expert Nacho Chips - Cheese With Herbs, No Onion, No Garlic Selection",Gourmet & World Food, 46.90, 70.00,Nachos & Chips,4.2
